Individu;Sex;Mother;Birth;Littersize;Body_mass_birth;Growth_rate;Torpor_bout_duration;Time_torpor;Time_inter_torpor;Temperature_torpor;Hamster_location;Offspring_number;Offspring_per_litter;Offspring_growth_rate;Telomere_pre_hibernation;Delta_telomere_experiment;Mean_cortisol;Testosterone_post_hibernation;Number_transition;Number_rearing;Number_grooming ;Time_latency
19.163.11;M;316.3;148;6;16,75;11,56;55;880;686;14,9;2;8;8;11,16;0,89;0,02;8,823333333;2,42;66;28;0;23
19.163.13;F;316.3;148;6;16,75;7,91;53,3;960;681;14,9;4;13;7;10,87;0,79;0,19;10,68333333;;42;11;0;15
19.163.5;M;316.3;89;9;18,52;7,62;47,1;424;603;14,8;2;7;7;8,53;1,01;-0,04;11,33;3,27;71;21;0;11
19.163.7;F;316.3;89;9;18,52;7;45;675;914;14,7;2;9;5;8,89;;;9,975;;27;16;0;19
19.165.11;M;316.5;155;10;15,25;10,36;44,3;576;786;15,9;4;12;6;7,92;0,94;0,06;12,72666667;1,91;59;26;0;17
19.165.4;M;316.5;102;5;22,71;8,48;47,9;383;515;14,5;1;13;7;8,05;1,18;-0,2;11,6;0,89;56;19;34;16
19.165.5;F;316.5;102;5;22,71;6,04;42,9;601;711;14,9;1;13;7;9,29;0,79;0,06;8,62;;56;24;2;19
19.165.8;F;316.5;155;10;15,25;8,77;59,2;1302;693;15,3;6;12;6;7,02;0,96;-0,03;12,11;;27;12;0;13
19.167.1;F;316.7;97;6;21,28;7,41;58,9;1295;933;14,8;6;;;;1,24;-0,39;10,99;;35;16;0;15
19.167.10;M;316.7;152;7;22,27;8,52;41,8;585;719;15,2;4;;;;0,93;0,01;10,17333333;4,1;54;21;2;30
19.167.11;F;316.7;152;7;22,27;7,33;73,9;2070;681;14,8;5;;;;1,24;-0,38;26,75333333;;38;21;2;44
19.167.5;M;316.7;97;6;21,28;8,59;59,4;1010;702;15,4;6;;;;1,02;-0,04;8,22;9,94;68;30;0;20
19.351.1;M;535.1;87;6;18,17;10,69;38;532;654;15;4;12;6;7,02;0,81;0,01;11,89333333;6,43;38;10;0;17
19.351.3;M;535.1;87;6;18,17;9,126788991;65,6;853;438;14;3;;;;0,95;-0,25;13,23333333;5,31;38;11;0;38
19.351.7;M;535.1;140;6;18,96;10,63;55,9;838;624;15,2;4;9;5;8,89;0,92;-0,11;9,103333333;4,64;69;19;13;14
19.351.8;F;535.1;140;6;18,96;8,7;46,1;737;1210;14,7;3;7;7;8,53;1,04;-0,14;10,79333333;;61;27;3;19
19.356.11;M;535.6;166;7;19,71;7,85;86,7;1300;449;13,6;3;10;5;9,14;1,22;-0,14;11,44;4,38;57;15;3;15
19.356.2;F;535.6;112;5;26,68;5,07;84,6;1100;583;13,6;1;15;8;10,1;1,1;-0,03;12,81666667;;61;29;19;12
19.356.3;M;535.6;112;5;26,68;6,78;69,9;1399;716;14;2;10;5;9,37;1,05;-0,15;10,07;1,67;59;22;8;12
19.356.9;F;535.6;166;7;19,71;6,61;67,5;1012;648;13,6;1;12;6;9,54;1,09;-0,09;13,40666667;;63;20;21;13
19.624.1;M;662.4;84;5;24,59;9,31;77,9;1403;608;14,1;2;13;7;9,29;0,96;-0,15;8,36;4;62;25;25;18
19.624.11;M;662.4;199;4;24,13;8,93;49,2;787;670;16,1;6;13;7;10,87;1,12;-0,16;6,476666667;6,47;40;6;0;25
19.624.14;F;662.4;199;4;24,13;6,93;59,9;1018;761;14,4;3;10;5;9,37;0,98;-0,06;12,19333333;;51;16;38;20
19.624.3;F;662.4;84;5;24,59;5,96;64;960;681;14,1;2;10;5;9,14;0,96;-0,13;13,51;;57;15;0;12
19.624.8;F;662.4;140;5;26,86;5,25;46,4;743;745;15,7;5;13;7;8,05;1,02;-0,06;23,72;;61;23;4;18
19.624.9;M;662.4;140;5;26,86;8,64;70,1;1473;668;14,2;1;12;6;9,54;1,08;-0,23;6,43;4,68;50;24;10;10
19.625.10;M;662.5;150;5;26,48;7,788264693;63,4;1015;654;15,7;5;15;8;10,1;0,77;0,2;13,30333333;5,89;85;24;0;9
19.625.13;F;662.5;150;5;26,48;3,34;47;941;848;15,4;5;8;8;11,16;1,07;-0,12;18,29;;70;18;0;12
19.625.4;M;662.5;89;9;17,04;10,03;58,8;823;594;14,7;3;;;;0,87;-0,02;17,52;5,9;58;40;0;30
19.625.9;F;662.5;89;9;17,04;7,46;42,7;983;924;14,8;5;12;6;7,92;0,64;0,14;32,3;;48;27;2;24
19.627.1;M;662.7;88;10;17,69;10,39;62,7;815;409;13,7;1;;;;0,92;0,13;11,12666667;3,37;72;18;0;14
19.627.13;F;662.7;144;6;21,68;7,18;72,5;1523;749;14;3;14;7;9,53;0,8;0;14,05666667;;61;19;3;11
19.627.16;M;662.7;144;6;21,68;8,53;49,5;693;710;15,7;4;;;;1,08;-0,17;10,59333333;5,86;56;21;0;18
19.627.6;F;662.7;88;10;17,69;8,8;56,5;1300;922;15,3;6;13;7;7,26;1,19;-0,02;33,64666667;;48;28;0;15
