Individual;Sex;Mother;Session;Time_latency;Number_grooming ;Number_transition;Number_rearing
19.163.13;F;316.3;1;20;0;34;11
19.163.7;F;316.3;1;20;0;32;25
19.165.5;F;316.5;1;19;2;58;25
19.165.8;F;316.5;1;18;0;5;7
19.167.1;F;316.7;1;10;0;41;18
19.167.11;F;316.7;1;22;2;39;27
19.351.8;F;535.1;1;30;3;65;26
19.356.2;F;535.6;1;14;19;66;34
19.356.9;F;535.6;1;12;21;72;16
19.624.14;F;662.4;1;20;38;60;15
19.624.3;F;662.4;1;17;0;68;17
19.624.8;F;662.4;1;23;4;69;17
19.625.13;F;662.5;1;14;0;79;15
19.625.9;F;662.5;1;38;2;46;31
19.627.13;F;662.7;1;10;3;61;22
19.627.6;F;662.7;1;14;0;46;23
19.163.11;M;316.3;1;27;0;68;29
19.163.5;M;316.3;1;20;0;74;19
19.165.11;M;316.5;1;16;0;55;29
19.165.4;M;316.5;1;16;34;48;17
19.167.10;M;316.7;1;33;2;59;28
19.167.5;M;316.7;1;28;0;70;27
19.351.1;M;535.1;1;17;0;47;15
19.351.3;M;535.1;1;56;0;30;8
19.351.7;M;535.1;1;18;13;60;10
19.356.11;M;535.6;1;18;3;50;20
19.356.3;M;535.6;1;18;8;70;29
19.624.1;M;662.4;1;24;25;59;9
19.624.11;M;662.4;1;39;0;30;3
19.624.9;M;662.4;1;14;10;56;25
19.625.10;M;662.5;1;6;0;96;9
19.625.4;M;662.5;1;42;0;58;17
19.627.1;M;662.7;1;14;0;85;19
19.627.16;M;662.7;1;21;0;65;15
19.163.13;F;316.3;2;9;18;50;11
19.163.7;F;316.3;2;17;7;22;7
19.165.5;F;316.5;2;19;10;54;23
19.165.8;F;316.5;2;8;0;48;17
19.167.1;F;316.7;2;19;0;29;13
19.167.11;F;316.7;2;65;2;37;15
19.351.8;F;535.1;2;7;22;56;27
19.356.2;F;535.6;2;10;0;56;23
19.356.9;F;535.6;2;13;58;54;23
19.624.14;F;662.4;2;19;9;42;17
19.624.3;F;662.4;2;7;57;46;12
19.624.8;F;662.4;2;12;0;52;29
19.625.13;F;662.5;2;9;19;61;21
19.625.9;F;662.5;2;10;0;49;22
19.627.13;F;662.7;2;12;7;60;16
19.627.6;F;662.7;2;15;5;50;32
19.163.11;M;316.3;2;19;8;64;26
19.163.5;M;316.3;2;2;0;68;23
19.165.11;M;316.5;2;17;0;63;22
19.165.4;M;316.5;2;15;23;64;20
19.167.10;M;316.7;2;26;47;49;14
19.167.5;M;316.7;2;11;5;65;32
19.351.1;M;535.1;2;17;19;28;4
19.351.3;M;535.1;2;19;0;45;14
19.351.7;M;535.1;2;10;0;77;28
19.356.11;M;535.6;2;12;11;63;10
19.356.3;M;535.6;2;5;24;48;15
19.624.1;M;662.4;2;12;10;65;40
19.624.11;M;662.4;2;10;0;50;8
19.624.9;M;662.4;2;6;42;44;23
19.625.10;M;662.5;2;11;4;73;38
19.625.4;M;662.5;2;18;0;57;62
19.627.1;M;662.7;2;13;0;58;17
19.627.16;M;662.7;2;14;22;47;27
